file_key,target,hemisphere,neuron,firing_rate,burst_index,cv,burst_durations,spike_power,lfp_theta_power,lfp_alpha_power,lfp_lowbeta_power,lfp_highbeta_power
neuron_039,GPi,R,BOR,82.489726085795,2.979040787360405,0.5603448275862069,"(0.0, 0.13900000000000023, 0.13425000000000004, 0.13854545454545455)","(-13.53111502944076, -15.207170071482478, -13.5070097885571, -12.172277257912468)",-0.9042915487948439,-1.4461810834473692,3.145305437301946,6.188967300790066
neuron_040,GPi,R,BOR,33.41508154082661,4.986616731834887,0.665158371040724,"(0.26218181818181835, 0.25100000000000044, 0.14670588235294119, 0.17600000000000018)","(-10.903173643300255, -11.480753558506503, -13.806709853045625, -14.346286973077127)",1.6086261785288116,2.3630250029497497,13.85496446034357,6.872003387724398
neuron_041,GPi,R,BOR,76.52351358872092,2.87918396722923,0.4846153846153846,"(0.15599999999999997, 0.0, 0.13833333333333334, 0.20127272727272724)","(-12.267682042338137, -15.065091625267126, -13.269802204235372, -10.343618023861508)",2.2885714116860605,2.1563877580458595,16.20868631537444,7.751421230101036
neuron_042,GPi,L,BOR,47.48625929518268,4.940028666814431,0.5513196480938416,"(0.2250000000000001, 0.11400000000000077, 0.1733333333333332, 0.15399999999999983)","(-10.935658997773238, -13.240942420050978, -13.282738080197742, -13.551035271478893)",0.5480469348579743,-4.6264934556341615,13.185596767738064,5.977920659691149
neuron_043,GPi,L,BOR,30.143981842683882,5.246651463095446,0.5926680244399185,"(0.2545714285714285, 0.2524000000000002, 0.18907692307692317, 0.15833333333333333)","(-12.29587376120923, -13.124497938319, -13.090884661702418, -11.620276571125528)",-3.772380099126367,-7.793513015557939,10.060455471975763,2.847410549479949
neuron_044,GPi,L,BOR,46.91672512029141,4.498413213167382,0.5777777777777777,"(0.0, 0.12466666666666686, 0.14375000000000016, 0.1873333333333334)","(-13.29394173874218, -11.642076291090738, -13.621308142363333, -11.723256327241657)",-2.0140063671634527,-6.6896822786606265,13.522373721101843,4.295325557720165
neuron_045,GPi,L,BOR,66.19139221240435,2.497552544256352,0.5411764705882353,"(0.0, 0.0, 0.11599999999999988, 0.14400000000000013)","(-14.480582538289493, -16.172001185009183, -10.169427025412382, -15.120396492987753)",10.383058232514005,11.006498297114254,12.912897809674655,9.467322157541187
neuron_046,GPi,L,HFD,60.48228733013904,2.075976684544533,0.4429347826086957,"(0.0, 0.0, 0.11399999999999966, 0.13166666666666652)","(-15.132871597281866, -16.341369745738433, -15.49319158190415, -11.750960412184543)",8.573835368906257,8.224618160125543,7.322699912379029,1.7144318520962476
neuron_047,GPi,L,BOR,79.4237850954682,3.85247722501182,0.5272727272727272,"(0.16999999999999993, 0.12199999999999989, 0.13449999999999995, 0.1253333333333331)","(-12.453717685592807, -15.999168165789953, -16.373080155621732, -15.865441030588483)",8.60504852754007,5.914997042961664,7.802384087481594,6.82305792559739
neuron_048,GPi,L,BOR,49.374499855850715,2.9363473306721484,0.5666666666666667,"(0.16949999999999987, 0.15799999999999947, 0.13179999999999992, 0.160888888888889)","(-14.436155523758325, -14.931222250728204, -14.164039858995261, -12.75563260998659)",8.622694396266574,13.165071973403643,14.292318920342147,7.994176105413463
